bribe_title,name,transaction,amount,date,location,views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Visakhapatnam
                      , Andhra Pradesh",317 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Indore
                      , Madhya Pradesh",304 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Varanasi
                      , Uttar Pradesh",285 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Agra
                      , Uttar Pradesh",224 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Shamsabad, Agra
                      , Uttar Pradesh",194 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Chandigarh
                      , Chandigarh",186 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Bhopal
                      , Madhya Pradesh",192 views
KIDNEY DONORS,,Health Services,"Paid INR 20,00,000",03-Nov-19,"Kochi
                      , Kerala",189 views
KIDNEY DONORS NEEDED URGENT,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Surat
                      , Gujarat",202 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Lucknow
                      , Uttar Pradesh",197 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Indore
                      , Madhya Pradesh",304 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Varanasi
                      , Uttar Pradesh",285 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Agra
                      , Uttar Pradesh",224 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Shamsabad, Agra
                      , Uttar Pradesh",194 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Chandigarh
                      , Chandigarh",186 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Bhopal
                      , Madhya Pradesh",192 views
KIDNEY DONORS,,Health Services,"Paid INR 20,00,000",03-Nov-19,"Kochi
                      , Kerala",189 views
KIDNEY DONORS NEEDED URGENT,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Surat
                      , Gujarat",202 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Lucknow
                      , Uttar Pradesh",197 views
MAKE MONEY WITH KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Jaipur
                      , Rajasthan",155 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Varanasi
                      , Uttar Pradesh",285 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Agra
                      , Uttar Pradesh",224 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Shamsabad, Agra
                      , Uttar Pradesh",194 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Chandigarh
                      , Chandigarh",186 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Bhopal
                      , Madhya Pradesh",192 views
KIDNEY DONORS,,Health Services,"Paid INR 20,00,000",03-Nov-19,"Kochi
                      , Kerala",189 views
KIDNEY DONORS NEEDED URGENT,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Surat
                      , Gujarat",202 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Lucknow
                      , Uttar Pradesh",197 views
MAKE MONEY WITH KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Jaipur
                      , Rajasthan",155 views
ARE YOU SERIOUS KIDNEY DONORS,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Ahmedabad
                      , Gujarat",149 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Agra
                      , Uttar Pradesh",224 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Shamsabad, Agra
                      , Uttar Pradesh",194 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Chandigarh
                      , Chandigarh",186 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Bhopal
                      , Madhya Pradesh",192 views
KIDNEY DONORS,,Health Services,"Paid INR 20,00,000",03-Nov-19,"Kochi
                      , Kerala",189 views
KIDNEY DONORS NEEDED URGENT,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Surat
                      , Gujarat",202 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Lucknow
                      , Uttar Pradesh",197 views
MAKE MONEY WITH KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Jaipur
                      , Rajasthan",155 views
ARE YOU SERIOUS KIDNEY DONORS,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Ahmedabad
                      , Gujarat",149 views
EXCHANGE KIDNEY WITH MONEY,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Kolkata
                      , West Bengal",163 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Shamsabad, Agra
                      , Uttar Pradesh",194 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Chandigarh
                      , Chandigarh",186 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Bhopal
                      , Madhya Pradesh",192 views
KIDNEY DONORS,,Health Services,"Paid INR 20,00,000",03-Nov-19,"Kochi
                      , Kerala",189 views
KIDNEY DONORS NEEDED URGENT,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Surat
                      , Gujarat",202 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Lucknow
                      , Uttar Pradesh",197 views
MAKE MONEY WITH KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Jaipur
                      , Rajasthan",155 views
ARE YOU SERIOUS KIDNEY DONORS,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Ahmedabad
                      , Gujarat",149 views
EXCHANGE KIDNEY WITH MONEY,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Kolkata
                      , West Bengal",163 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Mumbai
                      , Maharashtra",178 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Chandigarh
                      , Chandigarh",186 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Bhopal
                      , Madhya Pradesh",192 views
KIDNEY DONORS,,Health Services,"Paid INR 20,00,000",03-Nov-19,"Kochi
                      , Kerala",189 views
KIDNEY DONORS NEEDED URGENT,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Surat
                      , Gujarat",202 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Lucknow
                      , Uttar Pradesh",197 views
MAKE MONEY WITH KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Jaipur
                      , Rajasthan",155 views
ARE YOU SERIOUS KIDNEY DONORS,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Ahmedabad
                      , Gujarat",149 views
EXCHANGE KIDNEY WITH MONEY,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Kolkata
                      , West Bengal",163 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Mumbai
                      , Maharashtra",178 views
Are you in Debits or you want rise money for business and other…,Others,Others,"Paid INR 2,00,00,000",02-Nov-19,"Chitradurga
                      , Karnataka",233 views
"Hello ,Do you want to buy or sell your kidney for money, NU HOSPITALS…",Others,Others,"Paid INR 2,00,00,000",03-Nov-19,"Bhopal
                      , Madhya Pradesh",192 views
KIDNEY DONORS,,Health Services,"Paid INR 20,00,000",03-Nov-19,"Kochi
                      , Kerala",189 views
KIDNEY DONORS NEEDED URGENT,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Surat
                      , Gujarat",202 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Lucknow
                      , Uttar Pradesh",197 views
MAKE MONEY WITH KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Jaipur
                      , Rajasthan",155 views
ARE YOU SERIOUS KIDNEY DONORS,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Ahmedabad
                      , Gujarat",149 views
EXCHANGE KIDNEY WITH MONEY,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Kolkata
                      , West Bengal",163 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Mumbai
                      , Maharashtra",178 views
Are you in Debits or you want rise money for business and other…,Others,Others,"Paid INR 2,00,00,000",02-Nov-19,"Chitradurga
                      , Karnataka",233 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,000",02-Nov-19,"Bijapur
                      , Karnataka",232 views
KIDNEY DONORS,,Health Services,"Paid INR 20,00,000",03-Nov-19,"Kochi
                      , Kerala",189 views
KIDNEY DONORS NEEDED URGENT,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Surat
                      , Gujarat",202 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Lucknow
                      , Uttar Pradesh",197 views
MAKE MONEY WITH KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Jaipur
                      , Rajasthan",155 views
ARE YOU SERIOUS KIDNEY DONORS,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Ahmedabad
                      , Gujarat",149 views
EXCHANGE KIDNEY WITH MONEY,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Kolkata
                      , West Bengal",163 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Mumbai
                      , Maharashtra",178 views
Are you in Debits or you want rise money for business and other…,Others,Others,"Paid INR 2,00,00,000",02-Nov-19,"Chitradurga
                      , Karnataka",233 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,000",02-Nov-19,"Bijapur
                      , Karnataka",232 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,000",02-Nov-19,"Hubli
                      , Karnataka",254 views
KIDNEY DONORS NEEDED URGENT,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Surat
                      , Gujarat",202 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Lucknow
                      , Uttar Pradesh",197 views
MAKE MONEY WITH KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Jaipur
                      , Rajasthan",155 views
ARE YOU SERIOUS KIDNEY DONORS,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Ahmedabad
                      , Gujarat",149 views
EXCHANGE KIDNEY WITH MONEY,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Kolkata
                      , West Bengal",163 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Mumbai
                      , Maharashtra",178 views
Are you in Debits or you want rise money for business and other…,Others,Others,"Paid INR 2,00,00,000",02-Nov-19,"Chitradurga
                      , Karnataka",233 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,000",02-Nov-19,"Bijapur
                      , Karnataka",232 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,000",02-Nov-19,"Hubli
                      , Karnataka",254 views
WE BUY AND SELL KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Kolar
                      , Karnataka",278 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Lucknow
                      , Uttar Pradesh",197 views
MAKE MONEY WITH KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Jaipur
                      , Rajasthan",155 views
ARE YOU SERIOUS KIDNEY DONORS,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Ahmedabad
                      , Gujarat",149 views
EXCHANGE KIDNEY WITH MONEY,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Kolkata
                      , West Bengal",163 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Mumbai
                      , Maharashtra",178 views
Are you in Debits or you want rise money for business and other…,Others,Others,"Paid INR 2,00,00,000",02-Nov-19,"Chitradurga
                      , Karnataka",233 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,000",02-Nov-19,"Bijapur
                      , Karnataka",232 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,000",02-Nov-19,"Hubli
                      , Karnataka",254 views
WE BUY AND SELL KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Kolar
                      , Karnataka",278 views
EXCHANGE KIDNEY WITH MONEY,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Bijapur
                      , Karnataka",257 views
MAKE MONEY WITH KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Jaipur
                      , Rajasthan",155 views
ARE YOU SERIOUS KIDNEY DONORS,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Ahmedabad
                      , Gujarat",149 views
EXCHANGE KIDNEY WITH MONEY,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Kolkata
                      , West Bengal",163 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Mumbai
                      , Maharashtra",178 views
Are you in Debits or you want rise money for business and other…,Others,Others,"Paid INR 2,00,00,000",02-Nov-19,"Chitradurga
                      , Karnataka",233 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,000",02-Nov-19,"Bijapur
                      , Karnataka",232 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,000",02-Nov-19,"Hubli
                      , Karnataka",254 views
WE BUY AND SELL KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Kolar
                      , Karnataka",278 views
EXCHANGE KIDNEY WITH MONEY,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Bijapur
                      , Karnataka",257 views
KIDNEY DONATING,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Chitradurga
                      , Karnataka",304 views
ARE YOU SERIOUS KIDNEY DONORS,,Hospitals and Medical Care,"Paid INR 20,00,000",03-Nov-19,"Ahmedabad
                      , Gujarat",149 views
EXCHANGE KIDNEY WITH MONEY,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Kolkata
                      , West Bengal",163 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Mumbai
                      , Maharashtra",178 views
Are you in Debits or you want rise money for business and other…,Others,Others,"Paid INR 2,00,00,000",02-Nov-19,"Chitradurga
                      , Karnataka",233 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,000",02-Nov-19,"Bijapur
                      , Karnataka",232 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,000",02-Nov-19,"Hubli
                      , Karnataka",254 views
WE BUY AND SELL KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Kolar
                      , Karnataka",278 views
EXCHANGE KIDNEY WITH MONEY,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Bijapur
                      , Karnataka",257 views
KIDNEY DONATING,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Chitradurga
                      , Karnataka",304 views
KIDNEY KIDNEY,,Health Services,"Paid INR 20,00,000",01-Nov-19,"Bijapur
                      , Karnataka",233 views
EXCHANGE KIDNEY WITH MONEY,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Kolkata
                      , West Bengal",163 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Mumbai
                      , Maharashtra",178 views
Are you in Debits or you want rise money for business and other…,Others,Others,"Paid INR 2,00,00,000",02-Nov-19,"Chitradurga
                      , Karnataka",233 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,000",02-Nov-19,"Bijapur
                      , Karnataka",232 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,000",02-Nov-19,"Hubli
                      , Karnataka",254 views
WE BUY AND SELL KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Kolar
                      , Karnataka",278 views
EXCHANGE KIDNEY WITH MONEY,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Bijapur
                      , Karnataka",257 views
KIDNEY DONATING,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Chitradurga
                      , Karnataka",304 views
KIDNEY KIDNEY,,Health Services,"Paid INR 20,00,000",01-Nov-19,"Bijapur
                      , Karnataka",233 views
Https://rbinnovations.com/collections/super-chargers/xtm-racing,,Others,"Paid INR 1,222",01-Nov-19,"Adilabad
                      , Telangana",236 views
KIDNEY DONORS NEEDED,,Hospitals and Medical Care,"Paid INR 2,00,000",03-Nov-19,"Mumbai
                      , Maharashtra",178 views
Are you in Debits or you want rise money for business and other…,Others,Others,"Paid INR 2,00,00,000",02-Nov-19,"Chitradurga
                      , Karnataka",233 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,000",02-Nov-19,"Bijapur
                      , Karnataka",232 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,000",02-Nov-19,"Hubli
                      , Karnataka",254 views
WE BUY AND SELL KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Kolar
                      , Karnataka",278 views
EXCHANGE KIDNEY WITH MONEY,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Bijapur
                      , Karnataka",257 views
KIDNEY DONATING,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Chitradurga
                      , Karnataka",304 views
KIDNEY KIDNEY,,Health Services,"Paid INR 20,00,000",01-Nov-19,"Bijapur
                      , Karnataka",233 views
Https://rbinnovations.com/collections/super-chargers/xtm-racing,,Others,"Paid INR 1,222",01-Nov-19,"Adilabad
                      , Telangana",236 views
Traxxas T-Maxx 3.3 & 2.5 / Sport Maxx / S-Maxx / Nitro 4 Tec Supercharger,,Others,"Paid INR 1,200",01-Nov-19,"Adari
                      , Uttar Pradesh",241 views
Are you in Debits or you want rise money for business and other…,Others,Others,"Paid INR 2,00,00,000",02-Nov-19,"Chitradurga
                      , Karnataka",233 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,000",02-Nov-19,"Bijapur
                      , Karnataka",232 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,000",02-Nov-19,"Hubli
                      , Karnataka",254 views
WE BUY AND SELL KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Kolar
                      , Karnataka",278 views
EXCHANGE KIDNEY WITH MONEY,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Bijapur
                      , Karnataka",257 views
KIDNEY DONATING,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Chitradurga
                      , Karnataka",304 views
KIDNEY KIDNEY,,Health Services,"Paid INR 20,00,000",01-Nov-19,"Bijapur
                      , Karnataka",233 views
Https://rbinnovations.com/collections/super-chargers/xtm-racing,,Others,"Paid INR 1,222",01-Nov-19,"Adilabad
                      , Telangana",236 views
Traxxas T-Maxx 3.3 & 2.5 / Sport Maxx / S-Maxx / Nitro 4 Tec Supercharger,,Others,"Paid INR 1,200",01-Nov-19,"Adari
                      , Uttar Pradesh",241 views
KIDNEY SELLING,,Health Services,"Paid INR 2,00,000",01-Nov-19,"Kolar
                      , Karnataka",237 views
"Donate your kidney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 2,00,000",02-Nov-19,"Bijapur
                      , Karnataka",232 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,000",02-Nov-19,"Hubli
                      , Karnataka",254 views
WE BUY AND SELL KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Kolar
                      , Karnataka",278 views
EXCHANGE KIDNEY WITH MONEY,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Bijapur
                      , Karnataka",257 views
KIDNEY DONATING,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Chitradurga
                      , Karnataka",304 views
KIDNEY KIDNEY,,Health Services,"Paid INR 20,00,000",01-Nov-19,"Bijapur
                      , Karnataka",233 views
Https://rbinnovations.com/collections/super-chargers/xtm-racing,,Others,"Paid INR 1,222",01-Nov-19,"Adilabad
                      , Telangana",236 views
Traxxas T-Maxx 3.3 & 2.5 / Sport Maxx / S-Maxx / Nitro 4 Tec Supercharger,,Others,"Paid INR 1,200",01-Nov-19,"Adari
                      , Uttar Pradesh",241 views
KIDNEY SELLING,,Health Services,"Paid INR 2,00,000",01-Nov-19,"Kolar
                      , Karnataka",237 views
Losi XXXNT Supercharger - Losi XXXNT For Sale,,Others,"Paid INR 1,222",01-Nov-19,"Abohar
                      , Punjab",189 views
"Donate your k1dney for money urgently today, We are ready to pay…",Others,Others,"Paid INR 20,00,000",02-Nov-19,"Hubli
                      , Karnataka",254 views
WE BUY AND SELL KIDNEY,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Kolar
                      , Karnataka",278 views
EXCHANGE KIDNEY WITH MONEY,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Bijapur
                      , Karnataka",257 views
KIDNEY DONATING,,Hospitals and Medical Care,"Paid INR 20,00,000",01-Nov-19,"Chitradurga
                      , Karnataka",304 views
KIDNEY KIDNEY,,Health Services,"Paid INR 20,00,000",01-Nov-19,"Bijapur
                      , Karnataka",233 views
Https://rbinnovations.com/collections/super-chargers/xtm-racing,,Others,"Paid INR 1,222",01-Nov-19,"Adilabad
                      , Telangana",236 views
Traxxas T-Maxx 3.3 & 2.5 / Sport Maxx / S-Maxx / Nitro 4 Tec Supercharger,,Others,"Paid INR 1,200",01-Nov-19,"Adari
                      , Uttar Pradesh",241 views
KIDNEY SELLING,,Health Services,"Paid INR 2,00,000",01-Nov-19,"Kolar
                      , Karnataka",237 views
Losi XXXNT Supercharger - Losi XXXNT For Sale,,Others,"Paid INR 1,222",01-Nov-19,"Abohar
                      , Punjab",189 views
